Quantity,Reference Designator,Model
2,"R1A, R2A","8.2k ohm, 0603, 1%"
4,"R3A, R3B, R5M, JP2","0 ohm, 0603"
1,R5A,"33k ohm, 0603, 1%"
1,R1B,"7.5k ohm, 0603, 1%"
1,R2B,"6.8k ohm, 0603, 1%"
1,R5B,"27k ohm, 0603, 1%"
2,"C1A, C2A","15pF, 0603, C0G, 5%"
4,"C9A, C0A, C9B, C0B","100nF, 0603, X7R, 20%"
2,"C1B, C2B","33pF, 0603, C0G, 5%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
2,"U1A, U1B","AD8656, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2,"J3M, J4M","65474-010LF, 0.1"" jumper"
2,"J1A, J1B","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
