Frequency,Nominal,Min,Max
222485.9546128699,1.6509759183065497e-7,1.4905905408123922e-7,1.8244251395985074e-7
227486.26332154652,1.6730758947561921e-7,1.508048506460223e-7,1.8516920272970006e-7
232486.5587512534,1.695993874162514e-7,1.526119103674851e-7,1.880017225427279e-7
237486.84174075833,1.7197567142141348e-7,1.5448203358992902e-7,1.9094387082955103e-7
242487.1130596428,1.7443925089818505e-7,1.5641709855749742e-7,1.939996285198904e-7
247487.37341529163,1.7699306423308742e-7,1.5841906453397865e-7,1.9717316833805846e-7
252487.62345905195,1.7964018435524908e-7,1.6048997505136256e-7,2.0046886342245323e-7
257487.86379167467,1.8238382452214552e-7,1.6263196129027524e-7,2.0389129626339744e-7
264952.82598983543,1.867008001341792e-7,1.659926953536719e-7,2.0929053783194078e-7
272488.53186877427,1.9122823053688814e-7,1.6950707560028877e-7,2.1496818274313045e-7
277488.7385102322,1.9439310498561306e-7,1.7195655531527028e-7,2.189479082544942e-7
282488.9378365107,1.9767288869894484e-7,1.7448920909198332e-7,2.230807577712008e-7
287489.130229301,2.0107177069845297e-7,1.77107772521732e-7,2.2737277357748404e-7
292489.3160441933,2.0459412684963055e-7,1.7981509627264898e-7,2.3183027728770472e-7
297489.4956128703,2.0824452725356035e-7,1.8261415053380555e-7,2.3645988046445818e-7
302489.66924508347,2.1202774376796517e-7,1.85508029578644e-7,2.412684952026674e-7
307489.837230436,2.1594875762564142e-7,1.8849995643985685e-7,2.4626334457939615e-7
312489.9998399949,2.200127671099134e-7,1.915932876843454e-7,2.514519728484364e-7
317490.1573277509,2.2422519523901e-7,1.9479151827606854e-7,2.5684225523504824e-7
324961.5361854384,2.3085493313339332e-7,1.9980783275181184e-7,2.653516999205501e-7
334962.6844888845,2.4024329794432737e-7,2.068805952326888e-7,2.7744821960512503e-7
344963.7662132068,2.50335275290177e-7,2.1444349647863353e-7,2.905109496539565e-7
354964.78698597697,2.6118628082217595e-7,2.2253199387159735e-7,3.0462003597497956e-7
364965.7518178932,2.728561120779063e-7,2.3118434751270674e-7,3.19861482304084e-7
379868.3982644516,2.921614507605867e-7,2.453951176757995e-7,3.45220013910028e-7
394968.35316263,3.1344363278430267e-7,2.609518920545577e-7,3.7332091113681396e-7
404969.13462633174,3.290755019696187e-7,2.723025369817213e-7,3.940538772607365e-7
414969.8784249286,3.458899754149677e-7,2.844540478774133e-7,4.164158828720846e-7
425957.74438317236,3.6587573638215367e-7,2.98830225525695e-7,4.4304954461483806e-7
438451.82175468263,3.905760717987729e-7,3.165191732305121e-7,4.759953773324004e-7
451453.2090925925,4.186721205364796e-7,3.3656484667412694e-7,5.13430898702517e-7
466422.55520075356,4.5445337934512243e-7,3.62033832992106e-7,5.608809454830262e-7
481456.1246884289,4.937713386117596e-7,3.9002813725212483e-7,6.125267566954358e-7
493963.5614091388,5.294864190215839e-7,4.155494620266219e-7,6.587243705088213e-7
507444.578254611,5.710513482331948e-7,4.4548755688702426e-7,7.112733071459039e-7
522446.16947586095,6.20475828342531e-7,4.816034522521597e-7,7.715991783374358e-7
