Frequency,Nominal,Min,Max
220000,-2.7735171710746434,-3.016510447134098,-2.544157831380922
225000,-2.8637802746551437,-3.118518950115815,-2.623756158743646
230000,-2.9562333281719706,-3.2232689049513494,-2.705070707545839
235000,-3.0509688789146328,-3.3308819581299494,-2.788170017008091
240000,-3.1480830646841222,-3.4414847729216724,-2.8731250724471997
245000,-3.2476757636448874,-3.5552092351537805,-2.9600094058093256
250000,-3.3498507468015153,-3.672192660019402,-3.048899198593463
255000,-3.454715832561656,-3.7925779985076846,-3.1398733869955895
260000,-3.562383042720872,-3.916514041746347,-3.2330137690561633
270000,-3.786593879571994,-4.175663802282824,-3.426135270203155
275000,-3.903383973159961,-4.31120606843133,-3.52629528106678
280000,-4.0234694313876265,-4.450956492255984,-3.6289794921580993
285000,-4.146985615654507,-4.595095889652176,-3.73428566517838
290000,-4.274072997837603,-4.743811952157244,-3.8423150883723887
295000,-4.404877292125489,-4.897299351992432,-3.95317268578755
300000,-4.5395495753839725,-5.055759813336782,-4.066967123958672
305000,-4.678246392959029,-5.219402142348993,-4.183810914894726
310000,-4.821129846330727,-5.388442207288753,-4.303820514062224
315000,-4.968367658474254,-5.563102858776175,-4.427116411853627
320000,-5.1201332121553165,-5.743613778753728,-4.553823216796841
330000,-5.437969369816304,-6.123137796747715,-4.817988998029659
340000,-5.776137766844798,-6.528976777102893,-5.097399525033476
350000,-6.1362240656767,-6.963175558633693,-5.393205469771185
360000,-6.519892492418132,-7.427834204895696,-5.706626206960754
370000,-6.928872633411883,-7.925067436323552,-6.038947573409658
390000,-7.829880214051598,-9.025419033887184,-6.765735229170501
400000,-8.325457813072171,-9.63220030378987,-7.163043352504482
410000,-8.853346921338764,-10.278631685529298,-7.584904202218905
420000,-9.415059631931161,-10.965498624679128,-8.032776185866398
432000,-10.135493906365154,-11.843047358117662,-8.60654918921215
445000,-10.97451024012738,-12.856915274810843,-9.275336696310585
458000,-11.874491853998562,-13.929946334544022,-9.995576097570371
475000,-13.13909190393105,-15.401406222217394,-11.017680009940593
488000,-14.165155229744641,-16.55326220792538,-11.86095590159016
500000,-15.147036200915938,-17.609714919461215,-12.685207895489803
515000,-16.40002083684326,-18.87503590486588,-13.772018690600055
530000,-17.64691054460082,-20.01481756768741,-14.910337746809319
550000,-19.21532938159205,-21.20987844067282,-16.47435333695789
565000,-20.24439084801233,-21.777357018755588,-17.64477348722117
580000,-21.076432359441927,-22.136459765817378,-18.77036663730974
600000,-21.778209751705923,-22.294819142314267,-20.119851541647915
615000,-21.943462308600065,-22.17471700912251,-20.68305682482841
630000,-21.779053305477742,-22.136712055487923,-19.77415882669797
645000,-21.29573766529879,-22.216759906751232,-18.645688691984827
660000,-20.529393419702856,-22.18980744254489,-17.374217530907384
675000,-19.534750976500224,-21.863947133397023,-16.032549532376134
688000,-18.537971316489024,-21.437641844052244,-14.860899755904562
700000,-17.545917631718247,-20.90538051123142,-13.800798955371937
715000,-16.257433605265607,-20.04839508263806,-12.532262949973244
732000,-14.792542917147236,-18.880132303565087,-11.1963447507033
750000,-13.29593010333792,-17.49829499769758,-9.916381803850914
765000,-12.122633645399638,-16.29393571317487,-8.958400127849336
780000,-11.03185669676092,-15.0862364936246,-8.096036329445843
800000,-9.715738402860488,-13.525104711268943,-7.084431449318509
820000,-8.557055860041832,-12.065488101764737,-6.214453569914564
840000,-7.546136938692025,-10.734359306137838,-5.4675152559232485
860000,-6.668550030940697,-9.540975885787514,-4.825979121557611
880000,-5.908378129921878,-8.483131016739595,-4.274022963531156
900000,-5.250061694060153,-7.55206180015725,-3.7979027400304157
920000,-4.679314280683217,-6.73586369593514,-3.3859045704371344
940000,-4.183484214871105,-6.021654564885988,-3.0281551198463594
960000,-3.7516092008575765,-5.3968304910326825,-2.7163829444868277
980000,-3.3743156220733836,-4.849719128958587,-2.44367802597849
1000000,-3.0436505742956315,-4.369860132886266,-2.20427123264415
1020000,-2.7528949311975555,-3.9480691221210664,-1.9933417712462993
1040000,-2.4963821406041515,-3.576385146663658,-1.8068537589345857
1060000,-2.2693340053464306,-3.247962379590792,-1.6414198251235246
1080000,-2.067717366664245,-2.9569412191443267,-1.4941884047098968
1100000,-1.8881218228504326,-2.6983180916590506,-1.3627511334530154
1120000,-1.7276568318624026,-2.467823716216899,-1.2450669729952097
1150000,-1.5175563162584738,-2.1669995520769185,-1.090601435239939
1180000,-1.3382342714450692,-1.9112418726344478,-0.9584048542169941
1200000,-1.2330681314213698,-1.7617274785958648,-0.8807170530800903
1220000,-1.1378356107856202,-1.6266661980785786,-0.8102651146010212
1250000,-1.0111606598629839,-1.4475306696311612,-0.716404108102535
1280000,-0.9010794715604743,-1.292369461958212,-0.6347073245816827
1300000,-0.8355972572400215,-1.2003056448486866,-0.586056795246999
1320000,-0.7756644069440424,-1.116201387454105,-0.5414987635445352
1350000,-0.6949387621050371,-1.0031601994433934,-0.4814442677549449
1380000,-0.6237820671103453,-0.9037499656727777,-0.42848413253866124
1400000,-0.5809767565493985,-0.8440519674006061,-0.3966209611437473
1420000,-0.541467196351164,-0.7890180315845808,-0.36721302799803274
1450000,-0.4877197007127765,-0.7142523415655109,-0.32721924046444584
1480000,-0.43980578354260635,-0.6476933737032293,-0.29158929374589304
1500000,-0.41072482880326006,-0.6073344650873694,-0.26998099325749475
1550000,-0.3466498443413329,-0.5184963744876565,-0.2224415081955106
1600000,-0.2929467977136937,-0.444101100107121,-0.18271229033496
1650000,-0.24764955708008188,-0.38135924431861523,-0.14932934647486454
1700000,-0.20922394105760153,-0.3281065526359032,-0.1211455545584084
1750000,-0.1764604882176503,-0.28264578443525523,-0.09725320539349329
1800000,-0.14839668500080253,-0.24363275355549896,-0.07692751272764836
1850000,-0.12425984184988637,-0.2099931428241515,-0.059584904411404384
1900000,-0.10342463888606442,-0.18086104937110523,-0.044751872468922434
1950000,-0.08538122614997573,-0.15553307122820903,-0.03204146003219803
2000000,-0.06971100814140165,-0.13343364262077478,-0.02113533602553933
2050000,-0.05606808530345962,-0.1140886033486904,-0.011770002757098129
2100000,-0.04416490345741582,-0.0971048598515141,-0.0037260914482686513
2150000,-0.03376106398946577,-0.08215459818768131,0.003180013082790272
2200000,-0.02465453001548849,-0.06896293045780574,0.009102775222865437
2250000,-0.016674664479024933,-0.057298154033160374,0.014172751143872998
