Frequency,Nominal,Min,Max
220000,-11.770810308702423,-12.412042930695415,-11.15788271083277
225000,-11.535735680243294,-12.182261300827566,-10.91778280812252
230000,-11.30394132167342,-11.955905798321789,-10.680823707756616
235000,-11.075235465265028,-11.732786278738516,-10.446812176885143
240000,-10.849437921291639,-11.512724175864648,-10.215566588269278
245000,-10.626379128385661,-11.295551546509026,-9.98691597977982
250000,-10.405899302358838,-11.081110213127568,-9.760699213404575
255000,-10.187847672063757,-10.869250992792034,-9.536764222452256
260000,-9.9720817924555,-10.65983300259135,-9.314967337232737
270000,-9.546875487563526,-10.247794981008793,-8.877251627887201
275000,-9.337186538946677,-10.04492933885343,-8.661082319810067
280000,-9.129285339970044,-9.844012728872919,-8.446549231666967
285000,-8.923062938867485,-9.644937483417179,-8.233542785539182
290000,-8.71841580527403,-9.44760126320548,-8.021959006736894
295000,-8.515245499691327,-9.251906711141096,-7.811699219356281
300000,-8.31345837663456,-9.057761138176817,-7.602669778297686
305000,-8.112965318728866,-8.865076238341382,-7.394781835289277
310000,-7.91368149939246,-8.67376783039234,-7.187951136855636
315000,-7.715526172071892,-8.483755623872899,-6.982097852525112
320000,-7.518422484286104,-8.2949630076256,-6.777146431890423
330000,-7.1270811340666365,-7.9207473726815465,-6.3696677162563695
340000,-6.739114874422088,-7.550574845905842,-5.964992480094913
350000,-6.354035241457301,-7.183947906290557,-5.562662082526508
360000,-5.971405628644205,-6.820413956250917,-5.1622818488143185
370000,-5.590840239086692,-6.459562611936251,-4.7635228525425
390000,-4.834615038633986,-5.744466980354844,-3.969904656298386
400000,-4.458445014949071,-5.389600393190158,-3.5747575434051297
410000,-4.08332529803336,-5.036172136297752,-3.1806727426360517
420000,-3.7091511615324073,-4.683971286844805,-2.7877422863041526
432000,-3.261348326814457,-4.262717604258316,-2.3180540039555906
445000,-2.7778292422930266,-3.8078539707787518,-1.8121782977223164
458000,-2.296345091259188,-3.3544372819627855,-1.3105788838020351
475000,-1.67096762681459,-2.763806057818427,-0.664103065989953
488000,-1.197410158941323,-2.3142626486883398,-0.18014513835965457
500000,-0.7653850720362619,-1.9014298668752985,0.255466688034837
515000,-0.23488013706646968,-1.3892785516743311,0.7798965042573034
530000,0.28107645468427767,-0.883118745973691,1.2748495498001686
550000,0.9370150016713862,-0.22184141799808244,1.8780656799924897
565000,1.396308024446865,0.25963009727739683,2.2895176802817527
580000,1.8189375919366502,0.7239939591569149,2.643210921461197
600000,2.3105997601225985,1.307467774379071,3.008553376924847
615000,2.6143751875218015,1.710378356575827,3.19336261214791
630000,2.8540365460809984,2.076020506173752,3.2973857906828377
645000,3.0240376476534694,2.397367955537995,3.320960450540728
660000,3.121566715172859,2.658169606087575,3.3258306985390744
675000,3.146995989751778,2.726542491676934,3.3203109557723036
688000,3.1133690406374006,2.555527465851956,3.284914450179694
700000,3.039971014679803,2.367415606792929,3.3042252999547754
715000,2.897255362419423,2.099756751168464,3.3232147987681744
732000,2.6774724374055476,1.7639384776519034,3.2704325680483355
750000,2.3916503550677035,1.3834049976428262,3.1371221874989086
765000,2.1222255515702573,1.0547498933941342,2.973822240436364
780000,1.8325159411353733,0.7210978537546592,2.7713208506756577
800000,1.425653824822388,0.2751005594810687,2.4535929466283597
820000,1.0062192355183668,-0.16619998424755283,2.0965338195169636
840000,0.5831752225553122,-0.5984078634798445,1.7269572511094156
860000,0.16285375738452418,-1.0188001784091634,1.3445560109860244
880000,-0.25044862925227296,-1.4258290708818675,0.953101236244039
900000,-0.6539478649777799,-1.8187528873428427,0.5594177765564855
920000,-1.0459517699087324,-2.1973711624169896,0.16841587783741646
940000,-1.4255389374682192,-2.5618379779815212,-0.21649324228932873
960000,-1.792321426184241,-2.9125323696129533,-0.5930331007138895
980000,-2.14627312725748,-3.249969348619992,-0.9597651675467846
1000000,-2.487607476779748,-3.5747394459926123,-1.315857712845512
1020000,-2.8166913014516433,-3.8874681097984705,-1.6609109454780113
1040000,-3.133984698979357,-4.188788839071183,-1.994827316945609
1060000,-3.439999482480926,-4.479325777228618,-2.3177166516656955
1080000,-3.7352707704826846,-4.759682790309289,-2.629827471062556
1100000,-4.0203378394714555,-5.030436967121088,-2.931497704318456
1120000,-4.295731476302274,-5.292135113092117,-3.2231195965681367
1150000,-4.691803238802508,-5.6688201315188955,-3.642638171413721
1180000,-5.0689032501923315,-6.027884464988026,-4.041962477284864
1200000,-5.3105173549114895,-6.258193029526086,-4.29767569501494
1220000,-5.544792941658526,-6.48171028503082,-4.545471079803855
1250000,-5.883296312509262,-6.805046763459127,-4.903182434907419
1280000,-6.207382051194563,-7.1150529511178835,-5.24523148722416
1300000,-6.415978681853179,-7.314824892270593,-5.465142573267354
1320000,-6.618960307120574,-7.509402510704664,-5.678934021581315
1350000,-6.913513728486093,-7.792087601749289,-5.988803922091197
1380000,-7.196932603365016,-8.064457394899826,-6.2865277715315235
1400000,-7.380085302346007,-8.240664914252108,-6.478691512331061
1420000,-7.558856388582164,-8.412805210335142,-6.666077780514392
1450000,-7.819234581218239,-8.663787920591457,-6.938680635128276
1480000,-8.0708318247563,-8.906601337848487,-7.20172212650318
1500000,-8.233968868293818,-9.064197076368535,-7.372085082714265
1550000,-8.62685350992629,-9.444230086915372,-7.781742413118689
1600000,-9.000087821355432,-9.805892755051088,-8.170089666695755
1650000,-9.355567161813896,-10.150916023405372,-8.539228012597386
1700000,-9.6949334970054,-10.480801983674086,-8.890976877562036
1750000,-10.019616583248174,-10.7968611177579,-9.226918843030283
1800000,-10.330867584673149,-11.100242577845156,-9.548436742853589
1850000,-10.629786607650132,-11.391958930894193,-9.856744299763992
1900000,-10.917345346957717,-11.672906486752808,-10.152911462274067
1950000,-11.194405796691543,-11.943882088073074,-10.437885414249617
2000000,-11.461735783511855,-12.20559705214093,-10.712508055236562
2050000,-11.720021924234077,-12.458688808622613,-10.977530599994251
2100000,-11.969880486843312,-12.703730663738211,-11.23362582152356
2150000,-12.211866537227053,-12.941240033079055,-11.481398360777018
2200000,-12.446481677750814,-13.171685416395754,-11.721393444758101
2250000,-12.674180623779407,-13.3954923337327,-11.95410428939303
