Frequency,Nominal,Min,Max
125000,2.5095418959904787e-8,2.451863012107769e-8,2.57012859060005e-8
128000,2.528472266984487e-8,2.4683551621750142e-8,2.5916585839495876e-8
130000,2.5413753697357582e-8,2.4795922431775254e-8,2.6063385160881425e-8
132000,2.554506390284018e-8,2.4910243938948675e-8,2.62128183467429e-8
135000,2.5746334126866664e-8,2.508540722096354e-8,2.6441947126481526e-8
138000,2.595281453496105e-8,2.5265020766419278e-8,2.6677107710226117e-8
140000,2.609338792788269e-8,2.538725433305317e-8,2.6837264910663e-8
142000,2.6236315267295536e-8,2.5511494384065088e-8,2.700015219104647e-8
145000,2.645515473594358e-8,2.5701642609333657e-8,2.7249646750098e-8
148000,2.6679381250023237e-8,2.5896373134314457e-8,2.7505400471829677e-8
150000,2.6831886200208726e-8,2.602875998462473e-8,2.767941594797287e-8
155000,2.7223845982676793e-8,2.6368803552495828e-8,2.8126910707478918e-8
160000,2.763130969054438e-8,2.6721979594539777e-8,2.8592483845624517e-8
165000,2.8054564732172095e-8,2.7088503568717868e-8,2.9076502369983994e-8
170000,2.849391008600908e-8,2.7468600051265522e-8,2.9579346898849874e-8
175000,2.894965597058045e-8,2.786250262605271e-8,3.010141090286546e-8
180000,2.942212340225422e-8,2.8270453714630507e-8,3.064309974357575e-8
185000,2.9911643625974115e-8,2.869270433945815e-8,3.120482948144533e-8
190000,3.0418557402462004e-8,2.9129513811991552e-8,3.178702542275285e-8
195000,3.094321413356327e-8,2.9581149336420718e-8,3.2390120371394274e-8
200000,3.1485970805425364e-8,3.004788551886868e-8,3.3014552548033564e-8
205000,3.204719072707445e-8,3.053000377080646e-8,3.3660763135262427e-8
210000,3.262724203969519e-8,3.1027791594298024e-8,3.432919340352561e-8
215000,3.32264959695444e-8,3.1541541735469015e-8,3.502028136860887e-8
220000,3.384532479496625e-8,3.207155119129698e-8,3.573445792757497e-8
225000,3.448409949546381e-8,3.261812005345801e-8,3.647214241630911e-8
230000,3.5143187048271345e-8,3.31815501715466e-8,3.723373752847632e-8
235000,3.582294733543276e-8,3.37621436165282e-8,3.8019623532928316e-8
240000,3.6523729622113367e-8,3.436020092381232e-8,3.883015172471694e-8
