Frequency,Nominal,Min,Max
220000,0.000001272616674170513,0.0000012837476644396435,0.0000012622672613475587
225000,0.000001248005139007405,0.0000012592742166512036,0.000001237529301186085
230000,0.0000012245117140175836,0.0000012359241076529101,0.0000012139048566091272
235000,0.0000012020667708984062,0.0000012136278866931189,0.0000011913241556252623
240000,0.0000011806065396593024,0.0000011923219696959612,0.0000011697232780828595
245000,0.000001160072513358055,0.0000011719480443658375,0.0000011490435601333623
250000,0.0000011404109243755557,0.000001152452546845282,0.0000011292310702213748
255000,0.0000011215722824143732,0.0000011337862001115008,0.0000011102361467866685
260000,0.0000011035109659164456,0.0000011159036058067297,0.0000010920129893732763
270000,0.0000010695550338504358,0.0000010823253440298857,0.0000010577159414466243
275000,0.0000010535854556083713,0.0000010665552138246718,0.0000010415666893403273
280000,0.0000010382427350615365,0.0000010514193690823473,0.0000010260379369470228
285000,0.0000010234958956516663,0.0000010368871127435552,0.000001011098485581145
290000,0.0000010093161693593695,0.0000010229299689648299,9.967193353559826e-7
295000,9.95676812706662e-7,0.0000010095214996143701,9.82873500795248e-7
300000,9.825529412824438e-7,9.96637139295205e-7,9.695358449575574e-7
305000,9.699213806674523e-7,9.842540467690979e-7,9.566829299513458e-7
310000,9.577605319087135e-7,9.723509709273285e-7,9.44292881991483e-7
315000,9.4605024992778e-7,9.609081296879808e-7,9.323452693834331e-7
320000,9.34771733448268e-7,9.499071003996538e-7,9.208209920223806e-7
330000,9.134409213175142e-7,9.291629973548325e-7,8.989721084081209e-7
340000,8.936409912183029e-7,9.099949156563118e-7,8.786164756676671e-7
350000,8.752608279060708e-7,8.922953737705302e-7,8.596401048336947e-7
360000,8.582032015981847e-7,8.759710588317648e-7,8.419426573069697e-7
370000,8.423830099895285e-7,8.609410702769626e-7,8.254356759611789e-7
390000,8.141665197726598e-7,8.344938366171198e-7,7.956900063055183e-7
400000,8.016484475979509e-7,8.229645134801123e-7,7.823215534492444e-7
410000,7.901222781923817e-7,8.125032784503713e-7,7.698820652427194e-7
420000,7.795453186024433e-7,8.030726261746978e-7,7.583242553054501e-7
432000,7.680544968741019e-7,7.930719850202573e-7,7.455605322560125e-7
445000,7.570270372651598e-7,7.838090728855559e-7,7.330267397451552e-7
458000,7.474230767466602e-7,7.761345832253386e-7,7.217734545706501e-7
475000,7.369378454712367e-7,7.684307688219295e-7,7.088985628509969e-7
488000,7.304600491819473e-7,7.642775881710189e-7,7.00404063808404e-7
500000,7.256366820580986e-7,7.61744310947126e-7,6.935675533656413e-7
515000,7.211341966068878e-7,7.602742817101972e-7,6.863419224002447e-7
530000,7.182853748635569e-7,7.605947976524776e-7,6.805474373960536e-7
550000,7.169576964031551e-7,7.635506150036299e-7,6.749885985229409e-7
565000,7.177057307472735e-7,7.673863376568856e-7,6.723988321732709e-7
580000,7.198118857024236e-7,7.72288045836203e-7,6.711145021342683e-7
600000,7.244253127607247e-7,7.798485967339527e-7,6.71327124224785e-7
615000,7.289335715304834e-7,7.857504552588875e-7,6.728181022151379e-7
630000,7.340170789231574e-7,7.913801603565903e-7,6.753167089332919e-7
645000,7.393449128110207e-7,7.963519063290673e-7,6.786630359425225e-7
660000,7.445738077360535e-7,8.003531247414742e-7,6.826592955089511e-7
675000,7.493772991776193e-7,8.03166488891203e-7,6.870743370689769e-7
688000,7.529771403982405e-7,8.045508785816147e-7,6.910436445981277e-7
700000,7.557032343283703e-7,8.049387656827624e-7,6.946709896853904e-7
715000,7.581815080469472e-7,8.042478704552625e-7,6.989546027720494e-7
732000,7.596443484652871e-7,8.019837204739573e-7,7.032075280011389e-7
750000,7.596132286655735e-7,7.980528284637393e-7,7.067344882062222e-7
765000,7.583976273038795e-7,7.937351300697342e-7,7.087565434599863e-7
780000,7.56186053978147e-7,7.886149056806224e-7,7.098757347663265e-7
800000,7.518636886080955e-7,7.807612493955153e-7,7.099442857166077e-7
820000,7.462084600794398e-7,7.719846724319981e-7,7.084537548013311e-7
840000,7.39472646004557e-7,7.625203616145972e-7,7.055494240620675e-7
860000,7.318859350131809e-7,7.525633099844826e-7,7.014160699462238e-7
880000,7.236481249408052e-7,7.422720356797464e-7,6.96249406055648e-7
900000,7.149278974037015e-7,7.317736364584882e-7,6.902378669778665e-7
920000,7.058648068201478e-7,7.211689710927649e-7,6.835527065042428e-7
940000,6.965726783276727e-7,7.105374026451716e-7,6.763438392411106e-7
960000,6.871433843969973e-7,6.999408947128737e-7,6.687392129043055e-7
980000,6.776504694726704e-7,6.894274328555732e-7,6.608461121229028e-7
1000000,6.681523869813572e-7,6.790338258793593e-7,6.527533582775587e-7
1020000,6.586952749490422e-7,6.687879718264899e-7,6.445337904685279e-7
1040000,6.493152783674234e-7,6.587106778472675e-7,6.362466929522849e-7
1060000,6.400404630496108e-7,6.488171159148418e-7,6.279400073117806e-7
1080000,6.308923780599252e-7,6.391179849685065e-7,6.196522677354731e-7
1100000,6.218873240123641e-7,6.296204381180371e-7,6.114142519931125e-7
1120000,6.130373792934863e-7,6.203288225854113e-7,6.032503675011177e-7
1150000,6.000715307607629e-7,6.067816975310559e-7,5.911843230079258e-7
1180000,5.87491975016734e-7,5.937025525208711e-7,5.793748324166689e-7
1200000,5.793246817481138e-7,5.852403759559794e-7,5.716604514093806e-7
1220000,5.71333594771229e-7,5.769807883110421e-7,5.640806077066395e-7
1250000,5.596760859343487e-7,5.649635230688435e-7,5.529722574767403e-7
1280000,5.484087226683978e-7,5.533805775282733e-7,5.421847319552036e-7
1300000,5.411099586540481e-7,5.458925090003797e-7,5.351728936716189e-7
1320000,5.339780384211819e-7,5.385861137856008e-7,5.283047854425899e-7
1350000,5.235857592768432e-7,5.279566918813454e-7,5.182700471756584e-7
1380000,5.135495130678514e-7,5.177090060078004e-7,5.085515415450971e-7
1400000,5.070502646302952e-7,5.110812821199358e-7,5.022448548841158e-7
1420000,5.006998233799844e-7,5.046112754500573e-7,4.960732658636494e-7
1450000,4.914447406965733e-7,4.951918098363756e-7,4.870634989382928e-7
1480000,4.825028178095598e-7,4.861013941921127e-7,4.783425845165127e-7
1500000,4.7670917437843474e-7,4.802165856272362e-7,4.726843382422413e-7
1550000,4.6278472499782096e-7,4.660879699289232e-7,4.5906229126410353e-7
