Frequency,Nominal,Min,Max
220000,-100.79124059430463,-101.67281502361976,-99.97156709872665
225000,-101.08841625959981,-102.00121154874749,-100.23987339607288
230000,-101.38956992065592,-102.33451611366095,-100.51132212723572
235000,-101.69484881800517,-102.67291921423787,-100.7860235658972
240000,-102.00440502656372,-103.01661818173106,-101.06409122635907
245000,-102.31839567818045,-103.36581751306686,-101.34564200376256
250000,-102.6369831938,-103.72072921607537,-101.63079631992372
255000,-102.96033552563945,-104.08157317023579,-101.91967827501617
260000,-103.28862640977931,-104.4485775035099,-102.21241580533867
270000,-103.96074929026236,-105.20202343970489,-102.80998950861189
275000,-104.30496010522876,-105.58896616864251,-103.11510224469241
280000,-104.65486769420286,-105.9830724035006,-103.42462404425989
285000,-105.01067889386097,-106.38461776748878,-103.73870462062547
290000,-105.37260808111819,-106.79388875992824,-104.05749861116458
295000,-105.74087750944751,-107.21118325904611,-104.38116578445535
300000,-106.11571765850393,-107.63681104388213,-104.7098712554162
305000,-106.49736759728626,-108.07109433524694,-105.04378570865775
310000,-106.88607536101242,-108.51436835548985,-105.3830856302495
315000,-107.28209834181027,-108.96698190661704,-105.72795354808132
320000,-107.68570369324048,-109.42929796604012,-106.07857828097825
330000,-108.51678145252069,-110.3845640857541,-106.79788647888476
340000,-109.38165732512027,-111.38337767633254,-107.54265662172244
350000,-110.2828643161649,-112.42921709508678,-108.31465320904553
360000,-111.22313492712475,-113.52584922459673,-109.11576838698328
370000,-112.20541693060521,-114.67735056089143,-109.94803203802903
390000,-114.30897937608142,-117.16293466104362,-111.71487688529479
400000,-115.43737645410492,-118.50688994113615,-112.65430369669119
410000,-116.62204826119554,-119.92548389927481,-113.6345928298254
420000,-117.86725217268943,-121.42458107761432,-114.65862740218408
432000,-119.44783535386034,-123.33855511035041,-115.94957397645507
445000,-121.27573136987859,-125.56621347626604,-117.43088370717388
458000,-123.23511689398931,-127.96907008219382,-119.00600718960878
475000,-126.01637157558147,-131.40166146854995,-121.22165424752048
488000,-128.3272214402845,-134.26828668988458,-123.04698592986041
500000,-130.61460277045774,-137.1139759704827,-124.84215960581543
515000,-133.698280050917,-140.95485182907058,-127.24779241300536
530000,-137.04884952396668,-145.12148739209275,-129.84845105516703
550000,-141.9576238878247,-151.18302177071874,-133.6477425075423
565000,-145.9813456339954,-156.08638107941053,-136.76592246404329
580000,-150.29672173466605,-161.2537439705992,-140.12870804563522
600000,-156.47586755631653,-168.44729689453376,-145.00665883255357
615000,-161.38589273684903,-173.96515079431768,-148.9619278304315
630000,-166.4750734997721,-179.48502036887467,-153.1618295860706
645000,-171.675888754719,-184.91291264960944,-157.5855569458537
660000,-176.91073671808633,-190.16390243857427,-162.1998486129268
675000,-182.09868370016147,-195.16945680056233,-166.9590639077614
688000,-186.49737813383618,-199.27116160709434,-171.15768989406428
700000,-190.4372150507493,-202.8445689520561,-175.05708940071835
715000,-195.1559201712842,-207.01340185518458,-179.91091475352553
732000,-200.18147870757247,-211.33875001929724,-185.30924777886014
750000,-205.09557173970484,-215.47426368520962,-190.81831181568
765000,-208.86270655948843,-218.59465482120478,-195.19155206888024
780000,-212.33704395706366,-221.44306551511878,-199.33310632238448
