Frequency,Nominal,Min,Max
220000,-1.759139005540382,-1.774525381933321,-1.744833004251215
225000,-1.7643256993565875,-1.7802569825489083,-1.7495158325437417
230000,-1.7695818222964517,-1.7860742446185753,-1.7542535066528941
235000,-1.774909944192054,-1.7919804929226,-1.7590479512175021
240000,-1.7803127192513908,-1.7979791715410611,-1.7639011474358794
245000,-1.7857928899425852,-1.8040738496186335,-1.76881513551312
250000,-1.7913532910458954,-1.8102682273899922,-1.7737920172064052
255000,-1.796996853880495,-1.816566142476007,-1.778833958472367
260000,-1.8027266107130189,-1.8229715764607268,-1.7839431922206512
270000,-1.8144573679554363,-1.8361216887831004,-1.7943728208661045
275000,-1.820464979997573,-1.842875113419714,-1.799698042700478
280000,-1.826572019502886,-1.8497535648206258,-1.8051002172096287
285000,-1.8327820964523909,-1.8567618535183383,-1.8105819573837694
290000,-1.8390989524290964,-1.863904979869312,-1.8161459621542486
295000,-1.8455264664878805,-1.8711881428293793,-1.8217950200087956
300000,-1.8520686612575812,-1.878616749062738,-1.827532012746381
305000,-1.8587297092793678,-1.8861964223834515,-1.8333599193754428
310000,-1.8655139395844533,-1.8939330135252423,-1.8392818201589773
315000,-1.872425844512938,-1.9018326102315555,-1.84530090080964
320000,-1.8794700867740641,-1.909901547653334,-1.851420456837617
330000,-1.8939751300136007,-1.9265740866750933,-1.8639747532276727
340000,-1.9090700616115224,-1.9440066724443539,-1.8769734443907387
350000,-1.9247990908472423,-1.9622600137487591,-1.8904473266536863
360000,-1.9412099088682302,-1.9813998550918643,-1.9044294241964004
370000,-1.9583539640120506,-2.0014973447513214,-1.9189551651518177
390000,-1.9950680547069144,-2.0448789711341977,-1.9497924251085015
400000,-2.0147622989883076,-2.068335415771375,-1.9661885160488806
410000,-2.0354387225775903,-2.093094551089793,-1.9832977890435934
420000,-2.0571716306918706,-2.119258732659174,-2.0011705639855046
432000,-2.084758011304949,-2.1526638813280927,-2.023701832173875
445000,-2.1166608151685544,-2.191543854422917,-2.0495555642167487
458000,-2.1508585438802013,-2.2334816136496527,-2.077046655110717
475000,-2.199400595410491,-2.293391635217164,-2.1157169913334015
488000,-2.2397325340688243,-2.3434236837501645,-2.1475750391312007
500000,-2.279654869528995,-2.3930903311853102,-2.1789067304217453
515000,-2.3334751911419533,-2.460126261078033,-2.2208929435012035
530000,-2.3919536602634817,-2.5328477703834573,-2.2662829995273697
550000,-2.4776279351502946,-2.6386415030133095,-2.3325931446141954
565000,-2.547855127805069,-2.7242212673582946,-2.3870156515248313
580000,-2.623172649223646,-2.81440876345491,-2.445707331962203
600000,-2.731019088772297,-2.939959946894034,-2.5308436339441767
615000,-2.816715194528418,-3.036264665089272,-2.5998761007592033
630000,-2.9055381550705826,-3.1326045634459505,-2.6731782146553957
645000,-2.9963095050573547,-3.227339155188356,-2.7503868222941668
660000,-3.0876748378594336,-3.318986215994395,-2.8309214045319298
675000,-3.1782215941155485,-3.4063496204986508,-2.9139853812380663
688000,-3.2549932947723192,-3.477937874317511,-2.987265228758846
700000,-3.3237564209640755,-3.5403055980020426,-3.0553225890006024
715000,-3.4061133617481256,-3.6130654581271084,-3.1400378227238632
732000,-3.4938259049580624,-3.6885570248859665,-3.2342565081350982
750000,-3.579593008118084,-3.760735354617358,-3.3304078142808153
765000,-3.6453419140898307,-3.81519645389052,-3.4067352556799095
780000,-3.7059805410026896,-3.8649105989483354,-3.4790190135535344
800000,-3.779279105011386,-3.9245340884936626,-3.568569203944556
820000,-3.844624146620678,-3.9774286559779126,-3.6501039028468254
840000,-3.902844678127117,-4.024487655318566,-3.7238021307948737
860000,-3.9547744599293426,-4.066505469534566,-3.7901293446189555
880000,-4.00119743425259,-4.104172818691673,-3.8497043536699977
900000,-4.042822014593758,-4.138082424699614,-3.9032031818288773
920000,-4.080273032422109,-4.168739220510769,-3.9512972564150743
940000,-4.1140935047800955,-4.196571878391587,-3.9946180529219077
960000,-4.144751248098114,-4.2219440117319,-4.033739900980967
980000,-4.172647403730151,-4.245164310154984,-4.069174210357429
1000000,-4.198125260838233,-4.266495357843132,-4.101370309941689
1020000,-4.221478562937809,-4.286161133362609,-4.130719747097673
1040000,-4.242958945436035,-4.304353302841547,-4.157562107815374
1060000,-4.262782403439758,-4.321236459948535,-4.182191233395519
1080000,-4.281134817856728,-4.336952471325011,-4.204861226131719
1100000,-4.298176626651289,-4.351624074471547,-4.225791949195654
1120000,-4.314046748848157,-4.3653578569313085,-4.245173907109753
1150000,-4.335914719132707,-4.3844001235815115,-4.271698749982057
1180000,-4.35575871570305,-4.401804922704302,-4.295576932580258
