Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
10000,2.2664150057610553e-7,1.7074722139391633e-8,5.026105657390619e-10,2.245518732602676e-7,3.212831813909615e-11,1.6449967449351635e-8,3.0795013171710307e-12,1.725264404400307e-8
10500,2.2664494115638494e-7,1.713743494717396e-8,5.026076625890834e-10,2.245505762167702e-7,3.07102127173506e-11,1.6449964112920953e-8,3.079485756816344e-12,1.725255039859723e-8
11000,2.2664854943761111e-7,1.7202959750619907e-8,5.026046178166135e-10,2.2454921590043707e-7,2.942580948042132e-11,1.6449960613739707e-8,3.0794694376844218e-12,1.7252452186682468e-8
11500,2.2665232539133512e-7,1.727126432425027e-8,5.026014314208789e-10,2.2454779231092287e-7,2.825761624371044e-11,1.644995695180821e-8,3.0794523598130378e-12,1.7252349408481556e-8
12000,2.2665626898890203e-7,1.7342315592982513e-8,5.025981034010691e-10,2.2454630544786526e-7,2.7191054848238756e-11,1.644995312712678e-8,3.0794345232417175e-12,1.7252242064227606e-8
12500,2.2666038020123835e-7,1.7416079701260368e-8,5.025946337563375e-10,2.2454475531088612e-7,2.6213878459218712e-11,1.644994913969575e-8,3.0794159280117403e-12,1.7252130154164072e-8
13000,2.2666465899869528e-7,1.7492522081730073e-8,5.025910224858012e-10,2.245431418995911e-7,2.5315723333550367e-11,1.6449944989515473e-8,3.0793965741661446e-12,1.7252013678544772e-8
13500,2.2666910535093175e-7,1.7571607523201757e-8,5.025872695885422e-10,2.245414652135699e-7,2.4487760193563643e-11,1.6449940676586313e-8,3.0793764617497182e-12,1.725189263763385e-8
14000,2.2667371922682615e-7,1.7653300237652635e-8,5.025833750636056e-10,2.2453972525239605e-7,2.372242030512007e-11,1.6449936200908656e-8,3.0793555908090078e-12,1.7251767031705813e-8
14500,2.2667850059440924e-7,1.7737563926047462e-8,5.025793389100006e-10,2.2453792201562673e-7,2.3013178227696707e-11,1.6449931562482882e-8,3.079333961392308e-12,1.725163686104549e-8
15000,2.266834494208126e-7,1.7824361842771234e-8,5.025751611267003e-10,2.2453605550280334e-7,2.2354378012733463e-11,1.6449926761309406e-8,3.0793115735496695e-12,1.725150212594807e-8
15500,2.2668856567222878e-7,1.7913656858488833e-8,5.025708417126425e-10,2.245341257134511e-7,2.174109303912124e-11,1.644992179738866e-8,3.0792884273329e-12,1.7251362826719075e-8
16000,2.2669384931387914e-7,1.8005411521266428e-8,5.02566380666727e-10,2.245321326470786e-7,2.116901212751246e-11,1.6449916670721062e-8,3.0792645227955497e-12,1.7251218963674344e-8
16500,2.2669930030999004e-7,1.8099588115809244e-8,5.02561777987819e-10,2.245300763031788e-7,2.0634346358992753e-11,1.644991138130707e-8,3.079239859992933e-12,1.725107053714008e-8
17000,2.2670491862377305e-7,1.819614872068973e-8,5.025570336747472e-10,2.2452795668122856e-7,2.01337523353114e-11,1.6449905929147155e-8,3.079214438982105e-12,1.72509175474528e-8
17500,2.2671070421740862e-7,1.8295055263459408e-8,5.025521477263038e-10,2.245257737806881e-7,1.9664268592244583e-11,1.6449900314241792e-8,3.0791882598218825e-12,1.7250759994959363e-8
18000,2.2671665705203448e-7,1.83962695735562e-8,5.025471201412453e-10,2.2452352760100184e-7,1.922326260844448e-11,1.6449894536591465e-8,3.079161322572825e-12,1.7250597880016934e-8
18500,2.2672277708773493e-7,1.8499753432936622e-8,5.025419509182921e-10,2.2452121814159805e-7,1.8808386405151396e-11,1.6449888596196696e-8,3.0791336272972503e-12,1.7250431202993035e-8
19000,2.267290642835329e-7,1.860546862437931e-8,5.025366400561276e-10,2.2451884540188873e-7,1.8417539154187475e-11,1.6449882493058e-8,3.0791051740592196e-12,1.725025996426548e-8
19500,2.2673551859738325e-7,1.871337697742223e-8,5.025311875533998e-10,2.245164093812698e-7,1.8048835536298574e-11,1.6449876227175916e-8,3.0790759629245508e-12,1.7250084164222436e-8
20000,2.2674213998616728e-7,1.8823440411910915e-8,5.025255934087205e-10,2.2451391007912083e-7,1.7700578843511596e-11,1.6449869798550998e-8,3.079045993960805e-12,1.724990380326237e-8
21000,2.267558838106689e-7,1.9049880900655265e-8,5.025139801877716e-10,2.245087216276706e-7,1.7059427954596537e-11,1.6449856453074915e-8,3.078983782825089e-12,1.7249529400236598e-8
22000,2.267702953904722e-7,1.9284488759548088e-8,5.025018003814477e-10,2.245032800422516e-7,1.648349021999584e-11,1.6449842456634444e-8,3.0789185412275585e-12,1.72491367585822e-8
23000,2.2678537434162933e-7,1.952696648897646e-8,5.024890539773369e-10,2.2449758531731837e-7,1.5964015259831282e-11,1.6449827809234515e-8,3.078850269771668e-12,1.724872588185814e-8
24000,2.2680112026275466e-7,1.9777021400045643e-8,5.024757409624456e-10,2.2449163744706582e-7,1.5493714791401715e-11,1.6449812510880264e-8,3.0787789690888197e-12,1.7248296773788213e-8
25000,2.2681753273499064e-7,2.003436645218283e-8,5.024618613231993e-10,2.2448543642542924e-7,1.5066470842310855e-11,1.644979656157708e-8,3.0787046398383455e-12,1.7247849438260956e-8
26000,2.26834611321989e-7,2.0298720956835227e-8,5.024474150454425e-10,2.2447898224608432e-7,1.4677111202470867e-11,1.6449779961330565e-8,3.0786272827075016e-12,1.7247383879329568e-8
27000,2.2685235556990154e-7,2.0569811156215303e-8,5.024324021144367e-10,2.244722749024464e-7,1.4321234688847346e-11,1.644976271014656e-8,3.0785468984114326e-12,1.7246900101211765e-8
