"Designator","Comment","Quantity","Footprint"
"C1,C2,C4,C35,C37","0.1uF","5","Capacitor_SMD:C_0402"
"C3","2.7p","1","Capacitor_SMD:C_0402"
"C5,C6,C15,C16","15p","4","Capacitor_SMD:C_0402"
"C7,C8","33p","2","Capacitor_SMD:C_0402"
"C14","22n","1","Capacitor_SMD:C_0402"
"C17,C18,C32","10u","3","Capacitor_SMD:C_0805_2012Metric"
"C19,C21,C22,C24,C26,C27,C28,C29,C30,C31","100n","10","Capacitor_SMD:C_0402"
"C20","10n","1","Capacitor_SMD:C_0402"
"C23,C25","1u","2","Capacitor_SMD:C_0402"
"C33,C36","4.7uF","2","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_HandSolder"
"C34","100p","1","Capacitor_SMD:C_0402"
"D1","BPW34-SMD","1","OptoDevice:Osram_BPW34S-SMD"
"D2","vsmy1850IT","1","LED_SMD:LED_0805_2012Metric"
"D3,D4,D5","LED","3","LED_SMD:LED_0603_1608Metric"
"H1,H2,H3,H4","MountingHole","4","MountingHole:MountingHole_2.7mm_M2.5"
"J1","Conn_01x02","1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J2","USB_C_Receptacle_USB2.0_16P","1","Connector_USB:USB_C_Receptacle_GCT_USB4105"
"J3,J4","Conn_01x19","2","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical"
"N-MOS1","~","1","Package_TO_SOT_SMD:SOT-23"
"R1","20k","1","Resistor_SMD:R_0402"
"R2,R3","8.2k","2","Resistor_SMD:R_0402"
"R4","33k","1","Resistor_SMD:R_0402"
"R5","7.5k","1","Resistor_SMD:R_0402"
"R6","6.8k","1","Resistor_SMD:R_0402"
"R8","27k","1","Resistor_SMD:R_0402"
"R13","39","1","Resistor_SMD:R_0402"
"R14","10","1","Resistor_SMD:R_0402"
"R15","75k","1","Resistor_SMD:R_0402"
"R16,R18,R31","1k","3","Resistor_SMD:R_0402"
"R19,R20","27","2","Resistor_SMD:R_0402"
"R21,R22","5.1k","2","Resistor_SMD:R_0402"
"R23,R24","220k","2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R27","220","1","Resistor_SMD:R_0402"
"R28,R30","470","2","Resistor_SMD:R_0402"
"R29","1.6M","1","Resistor_SMD:R_0805_2012Metric"
"TP1,TP2,TP4,TP5,TP6,TP7","TestPoint","6","TestPoint:TestPoint_Pad_D2.0mm"
"U1","AD8656","1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U2","PGA112","1","Package_SO:TSSOP-10_3x3mm_P0.5mm"
"U3","AD8655","1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U5","NCP1117-3.3_SOT223","1","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U6","W25Q128JVS","1","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm"
"U7","RP2040","1","RP2040_minimal:RP2040-QFN-56"
"Y1","ABM8-272-T3","1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"
